tid,label,n_sectors_found,n_sectors_downloaded,sectors,total_size_mb,status,error,duration_s,downloaded_at
229091748,0,1,1,29,1.92,ok,,5.21,
354400186,0,0,0,,0.0,no_data,,5.78,
17150865,0,3,3,43;44;70,5.45,ok,,6.59,
272086159,0,32,32,2;3;4;5;6;7;8;9;10;12;13;27;28;29;30;32;33;34;35;36;37;38;39;87;88;89;90;93;94;95;96;97,63.26,ok,,60.53,
229285649,0,3,3,71;72;87,5.73,ok,,5.55,
427348923,0,2,0,,0.0,error,"Error in reading Data product data\raw\lightcurves\mastDownload\TESS\tess2018349182500-s0006-0000000427348923-0126-s\tess2018349182500-s0006-0000000427348923-0126-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",1.65,2026-05-04T18:53:11+00:00
177722855,0,1,1,33,1.89,ok,,7.02,2026-05-04T18:53:18+00:00
151483286,1,2,2,61;88,3.89,ok,,4.4,2026-05-04T18:53:22+00:00
419858461,0,4,3,64;65;101,5.92,ok,,7.97,2026-05-04T18:53:30+00:00
121966220,0,3,3,19;59;86,5.71,ok,,7.82,2026-05-04T18:53:47+00:00
339636032,0,10,3,6;7;8,5.2,ok,,7.68,2026-05-04T18:53:55+00:00
21535395,1,2,2,21;48,4.05,ok,,5.13,2026-05-04T18:54:00+00:00
458857720,0,2,2,36;37,3.69,ok,,5.06,2026-05-04T18:54:05+00:00
21755546,0,5,3,40;41;54,5.92,ok,,7.08,2026-05-04T18:54:12+00:00
302895996,0,4,3,6;43;44,5.19,ok,,7.05,2026-05-04T18:54:19+00:00
153651591,0,1,1,34,1.85,ok,,3.0,2026-05-04T18:54:22+00:00
422838133,0,3,3,24;25;52,5.61,ok,,7.18,2026-05-04T18:54:29+00:00
304774444,0,0,0,,0.0,no_data,,5.6,2026-05-04T18:54:35+00:00
82010657,0,0,0,,0.0,no_data,,2.98,2026-05-04T18:54:38+00:00
328167090,0,0,0,,0.0,no_data,,4.18,2026-05-04T18:54:50+00:00
418971787,0,1,1,88,2.03,ok,,2.84,2026-05-04T18:54:53+00:00
219850915,1,39,3,14;15;16,5.68,ok,,8.35,2026-05-04T18:55:01+00:00
