tid,label,sector_chosen,valid_fraction,n_points_raw,status,error,duration_s,processed_at
229091748,0,29,0.7875,18864,ok,,0.8,2026-05-05T04:40:32+00:00
17150865,0,44,0.9165,17466,ok,,1.24,2026-05-05T04:40:34+00:00
272086159,0,38,0.9629,19226,ok,,2.16,2026-05-05T04:40:36+00:00
229285649,0,72,0.8135,18292,ok,,0.71,2026-05-05T04:40:37+00:00
177722855,0,33,0.9383,18609,ok,,0.68,2026-05-05T04:40:37+00:00
151483286,1,88,0.9223,20000,ok,,0.6,2026-05-05T04:40:38+00:00
419858461,0,64,0.976,19385,ok,,0.68,2026-05-05T04:40:39+00:00
121966220,0,19,0.9429,18052,ok,,0.67,2026-05-05T04:40:40+00:00
339636032,0,6,0.9412,15678,ok,,0.66,2026-05-05T04:40:41+00:00
21535395,1,21,0.9623,19694,ok,,0.62,2026-05-05T04:40:42+00:00
458857720,0,37,0.9506,18249,ok,,0.63,2026-05-05T04:40:42+00:00
21755546,0,40,0.9661,20309,ok,,0.63,2026-05-05T04:40:43+00:00
302895996,0,6,0.9413,15678,ok,,0.66,2026-05-05T04:40:44+00:00
153651591,0,34,0.9294,18231,ok,,0.67,2026-05-05T04:40:44+00:00
422838133,0,24,0.9646,19074,ok,,0.65,2026-05-05T04:40:45+00:00
418971787,0,88,0.9194,20000,ok,,0.65,2026-05-05T04:40:48+00:00
219850915,1,14,0.9628,19337,ok,,0.7,2026-05-05T04:40:48+00:00
162246865,0,36,0.8577,18066,ok,,0.73,2026-05-05T04:40:49+00:00
260004324,1,2,0.9427,19737,ok,,0.71,2026-05-05T04:40:50+00:00
262746281,1,45,0.8975,18089,ok,,0.63,2026-05-05T04:40:50+00:00
169904935,0,34,0.9285,18231,ok,,0.72,2026-05-05T04:40:51+00:00
434234955,0,32,0.9196,18730,ok,,0.95,2026-05-05T04:40:52+00:00
366989877,1,27,0.9549,17546,ok,,0.86,2026-05-05T04:40:53+00:00
356461227,0,89,0.9775,20745,ok,,0.71,2026-05-05T04:40:55+00:00
255760319,0,6,0.945,15678,ok,,0.78,2026-05-05T04:40:56+00:00
355732304,0,81,0.863,19174,ok,,0.69,2026-05-05T04:40:57+00:00
230386397,0,14,0.9221,19337,ok,,0.7,2026-05-05T04:40:57+00:00
92783821,0,41,0.957,19149,ok,,0.68,2026-05-05T04:40:58+00:00
348684813,0,61,0.8664,18312,ok,,0.61,2026-05-05T04:40:59+00:00
326919774,0,58,0.965,19962,ok,,0.66,2026-05-05T04:40:59+00:00
237232044,1,14,0.9628,19337,ok,,0.64,2026-05-05T04:41:00+00:00
261867566,1,39,0.9632,20126,ok,,0.7,2026-05-05T04:41:01+00:00
382437043,0,1,0.9265,20076,ok,,0.71,2026-05-05T04:41:01+00:00
389371332,0,27,0.9569,17546,ok,,0.7,2026-05-05T04:41:02+00:00
437856897,1,44,0.931,17466,ok,,0.61,2026-05-05T04:41:03+00:00
389182138,0,77,0.5654,20209,ok,,0.68,2026-05-05T04:41:03+00:00
63013648,0,44,0.8713,17466,ok,,0.69,2026-05-05T04:41:04+00:00
348835438,1,61,0.8559,18312,ok,,0.66,2026-05-05T04:41:05+00:00
437893926,0,71,0.8032,18677,ok,,0.61,2026-05-05T04:41:05+00:00
156648452,1,50,0.5632,18896,ok,,0.63,2026-05-05T04:41:06+00:00
143032776,0,63,0.8985,19107,ok,,0.65,2026-05-05T04:41:06+00:00
406190563,0,82,0.9748,18619,ok,,1.61,2026-05-05T04:41:08+00:00
341186896,0,34,0.9319,18231,ok,,1.87,2026-05-05T04:41:10+00:00
267527924,0,34,0.929,18231,ok,,1.93,2026-05-05T04:41:12+00:00
358631536,0,75,0.9766,19947,ok,,2.02,2026-05-05T04:41:14+00:00
301051430,0,31,0.9132,18314,ok,,2.01,2026-05-05T04:41:16+00:00
374778982,0,58,0.9769,19962,ok,,1.78,2026-05-05T04:41:18+00:00
284528889,0,58,0.9317,19962,ok,,1.91,2026-05-05T04:41:20+00:00
445805961,1,26,0.9619,17909,ok,,0.87,2026-05-05T04:41:20+00:00
432008938,0,7,0.9273,17612,ok,,0.72,2026-05-05T04:41:21+00:00
119081096,0,35,0.7602,17997,ok,,0.71,2026-05-05T04:41:22+00:00
258510872,1,24,0.9494,19074,ok,,0.68,2026-05-05T04:41:23+00:00
177612321,0,87,0.707,19370,ok,,0.75,2026-05-05T04:41:23+00:00
294599100,0,54,0.9491,18890,ok,,0.65,2026-05-05T04:41:24+00:00
361998994,0,63,0.9734,19107,ok,,0.8,2026-05-05T04:41:25+00:00
146836153,0,61,0.864,18312,ok,,0.7,2026-05-05T04:41:25+00:00
271169413,1,38,0.9471,19226,ok,,0.68,2026-05-05T04:41:26+00:00
95129101,0,44,0.9022,17466,ok,,0.68,2026-05-05T04:41:27+00:00
321857016,1,56,0.9768,20079,ok,,0.62,2026-05-05T04:41:27+00:00
340700241,0,63,0.9734,19107,ok,,0.62,2026-05-05T04:41:28+00:00
268301217,1,34,0.929,18231,ok,,0.73,2026-05-05T04:41:29+00:00
28643432,0,81,0.8999,19174,ok,,0.67,2026-05-05T04:41:29+00:00
175180796,0,34,0.9303,18231,ok,,0.96,2026-05-05T04:41:32+00:00
384549882,0,36,0.8923,18066,ok,,0.59,2026-05-05T04:41:32+00:00
323658120,0,72,0.7442,18292,ok,,0.64,2026-05-05T04:41:33+00:00
348755723,0,35,0.7528,17997,ok,,0.64,2026-05-05T04:41:35+00:00
85293053,1,21,0.8911,19694,ok,,0.64,2026-05-05T04:41:36+00:00
33595516,1,97,0.7596,39335,ok,,0.61,2026-05-05T04:41:36+00:00
54390047,0,34,0.9285,18231,ok,,0.61,2026-05-05T04:41:38+00:00
294500964,0,34,0.9255,18231,ok,,0.76,2026-05-05T04:41:39+00:00
416624606,0,55,0.9654,19562,ok,,0.63,2026-05-05T04:41:40+00:00
150271680,0,2,0.9427,19737,ok,,0.62,2026-05-05T04:41:40+00:00
120585579,0,2,0.9427,19737,ok,,0.67,2026-05-05T04:41:41+00:00
260708537,1,2,0.9307,19737,ok,,0.67,2026-05-05T04:41:42+00:00
