tid,toi,tfopwg_disp,st_tmag,pl_orbper,pl_trandep
406976746,1063.01,PC,9.0689,10.0665238,839.9044871
79748331,1064.01,CP,10.0059,6.4438657,1121.9512275
79748331,1064.02,CP,10.0059,12.2265595,1206.3693293
7088246,1065.01,KP,13.2851,2.1605155,13774.8794619
201604954,1066.01,KP,11.9707,4.606184,13793.034867
201642601,1067.01,KP,13.1686,3.1316735,14915.6943722
6663331,1068.01,KP,13.2887,3.180362,21192.463324
31858843,1069.01,KP,10.4293,2.9776446,13022.0
92352620,107.01,KP,9.6433,3.9502008,13914.0
31858844,1070.01,FP,15.7114,2.9776152,43218.111683
120247528,1071.01,KP,11.5803,3.5544026,10164.8753396
140830390,1072.01,FP,11.7106,12.8379689,10539.0192794
158297421,1073.01,CP,13.6699,3.9228016,31510.9004906
327301957,1074.01,PC,10.6339,13.9428705,1015.395543
351601843,1075.01,CP,11.1186,0.6047392,1027.6833479
360742636,1076.01,KP,11.2474,2.5495611,14921.4021936
369960846,1077.01,PC,13.461,1.6062693,16725.3019333
50365310,1000.01,FP,9.604,2.1713484,656.8860989
88863718,1001.01,PC,9.42344,1.9316462,1286.0
124709665,1002.01,FP,9.299501,1.8675574,1500.0
106997505,1003.01,FP,9.3003,2.74323,383.41
238597883,1004.01,FP,9.1355,3.5730141,755.0
169904935,1005.01,FP,9.1309,4.5505945,3731.0
156115721,1006.01,FP,9.2386,2.5047918,2270.5402194
65212867,1007.01,PC,8.87759,6.9989206,2840.0
440801822,1008.01,FP,8.9362,2.0483755,483.0
107782586,1009.01,PC,8.4331,1.9600277,1707.6272693
231663901,101.01,KP,12.4069,1.4303699,18960.7122944
139853601,1010.01,FP,8.45086,0.6808702,1507.8006889
114018671,1011.01,PC,8.2388,2.4705036,273.0272045
427508467,1012.01,APC,8.12718,0.884182,1890.0
97700520,1013.01,FP,7.6095,5.4255548,14939.6342222
96246348,1014.01,FP,7.678,1.4095184,2841.5103258
155044736,1015.01,FP,10.7069,1.3730466,1301.5065338
175310067,1016.01,FP,10.6257,12.6889415,3232.8527885
182943944,1017.01,FP,10.6019,1.10422,14177.7
291555748,1018.01,FP,10.6254,4.95912,7440.0
341420329,1019.01,PC,10.6348,5.2341008,20796.9416293
149603524,102.01,KP,9.7109,4.4119372,14711.8810303
140706664,1020.01,FP,10.7173,3.28892,10518.9
143994283,1021.01,FP,10.5551,1.90879,618.482
47384844,1022.01,FA,8.72924,3.09574,380.0
238374636,1023.01,FP,9.697,1.3214483,2180.0
141482386,1024.01,FP,10.0814,18.0157,610.0
297967252,1025.01,FP,5.5324,9.6837908,4965.2496516
388624270,1026.01,FP,9.9138,14.2628757,913.2067174
20318757,1027.01,PC,10.2103,3.2834565,1558.0
20318757,1027.02,PC,10.2103,11.02875,1694.0
20318757,1027.03,PC,10.2103,5.0113292,1210.0
447283466,1028.01,FP,7.9059,1.01606,240.0
374908020,1029.01,FP,6.841,36.22214,7170.0
336732616,103.01,KP,11.5232,3.547854,10424.3718
464296022,1030.01,FP,9.5706,12.1246519,7279.0
304021498,1031.01,FP,9.7318,5.652623,1250.0
146589986,1032.01,PC,9.7611,5.6643704,3491.8232968
149601557,1033.01,FP,10.0163,29.0161646,1238.3381592
400595342,1034.01,FP,9.8174,3.6404389,476.3077321
361413119,1035.01,PC,10.1126,6.0744477,5982.5212406
146172354,1036.01,PC,10.2855,3.7795212,2761.0
363260203,1037.01,FP,9.0211,1.2025238,390.0
90544017,1038.01,FP,8.7157,3.2235985,680.0
461867584,1039.01,APC,8.5483,4.420125,2466.0
231670397,104.01,KP,9.8638,4.0872956,3572.1712499
310483807,1040.01,FP,8.3854,2.55555,397.9246747
385624852,1041.01,FP,8.0981,8.30792,8350.0
360286627,1042.01,FP,9.718,0.758082,583.93181
90448944,1043.01,FP,9.5719,1.4415577,507.0
463402815,1044.01,PC,10.0031,1.0085089,3051.0
54044474,1045.01,FP,9.6306,3.7039994,7590.0
309787037,1046.01,FP,10.0119,1.3042553,914.0
370745311,1047.01,FP,10.2355,0.62627,1880.0
384549882,1048.01,FP,8.802,0.30412,1330.0
16288184,1049.01,KP,11.0657,2.1805333,16399.8584641
144065872,105.01,KP,9.4995,2.1846669,11535.5475157
66818296,1050.01,KP,11.0261,3.7354838,17030.0
259863352,1051.01,FA,7.1278,21.701669,211.6567325
317060587,1052.01,CP,9.0197,9.139804,358.4157801
112395568,1053.01,FP,8.8849,5.742625,1105.760867
366989877,1054.01,CP,8.4362,15.5077855,513.0
320004517,1055.01,CP,8.0888,17.4713078,1199.7541483
421894914,1056.01,PC,9.6663,5.3079507,391.3830934
323132914,1057.01,PC,9.4091,51.1701501,851.4547808
31553893,1058.01,PC,9.3781,11.1296441,951.6169809
380783252,1059.01,PC,9.7825,9.4496506,19750.0
38846515,106.01,KP,10.3157,2.8493827,7740.4889995
101230735,1060.01,APC,9.6652,2.0685633,502.0
253990973,1061.01,FP,9.7345,0.540933,257.347459
299799658,1062.01,CP,9.478,4.1150576,487.0
80166433,1125.01,PC,8.0465,0.7724825,211.3168519
405862830,1126.01,FP,10.3579,1.6268695,1502.0
269450900,1127.01,FP,7.3163,2.32439,2704.18
425721385,1128.01,FP,9.7298,13.5499,1180.0
91576611,1129.01,FP,8.7823,4.43651,1520.0
97409519,113.01,KP,12.1893,3.372877,17163.60419
254113311,1130.01,CP,10.1429,8.34998,16680.0
254113311,1130.02,CP,10.1429,4.0686405,2650.0950013
198213332,1131.01,PC,9.2872,0.5860366,410.5241553
267489265,1132.01,FP,9.2293,1.5502952,411.0
69997672,1133.01,FP,9.11458,1.80709,450.0
122220263,1134.01,FP,9.03609,18.6922101,11126.0
154872375,1135.01,CP,9.02855,8.0277326,5705.0
142276270,1136.01,CP,8.9361,12.5187279,2320.0
142276270,1136.02,CP,8.9361,6.2586065,813.0
142276270,1136.03,CP,8.9361,26.3208756,800.0
142276270,1136.04,CP,8.9361,18.795547,470.6731965
89389197,1137.01,PC,9.00558,1.3206356,1052.4255997
370133522,1078.01,CP,10.1165,0.5182425,831.8920424
379240073,1079.01,PC,13.1284,3.1644075,5603.4635466
289793076,108.01,KP,13.163,3.0440495,22807.0101774
161032923,1080.01,CP,12.7067,3.9652485,3680.7544436
253728991,1081.01,PC,11.5247,2.98278,6136.231662
261108236,1082.01,PC,11.8835,16.3469053,2212.4257252
322270620,1083.01,PC,12.0936,12.9802953,2407.2608671
380589029,1084.01,KP,12.2851,1.3484961,18463.7636682
381979901,1085.01,APC,11.6577,3.2541181,13620.0
468148930,1086.01,PC,12.2303,3.7178828,4864.8405125
426077080,1087.01,FP,9.4142,9.30992,2220.0
343648136,1088.01,FA,10.4613,1.15395,1550.0
129319156,1089.01,FP,10.3918,4.73703,2410.0
29344935,109.01,KP,13.2366,2.76676,14947.4387827
361034196,1090.01,FP,10.0196,2.19296,4933.74
193413306,1091.01,PC,9.3529,1.725841,2710.0
387079085,1092.01,FP,9.0039,1.1923,3730.0
382331352,1093.01,FP,10.0067,11.47606,3050.0
136274063,1094.01,APC,9.9806,0.5971314,910.0
375223080,1095.01,PC,10.4291,1.4821386,2102.6568299
375225453,1096.01,FP,10.11,0.9209526,360.8801529
360630575,1097.01,CP,8.7215,9.188506,460.0
360630575,1097.02,CP,8.7215,13.9028391,647.2701039
383390264,1098.01,CP,8.7581,10.1826983,667.4752458
290348383,1099.01,CP,7.3661,6.441006,914.0
281459670,110.01,KP,11.6714,3.1743504,15457.3247576
318608749,1100.01,FP,10.5135,20.0731588,1152.9645461
271581073,1101.01,FP,10.5891,2.66903,3110.0
311890977,1102.01,FP,10.5652,6.63371,1555.34
351603103,1103.01,PC,10.5598,2.94308,4490.0
451599528,1104.01,FP,7.5622,341.2791676,8583.5584652
274151135,1105.01,PC,10.2809,10.8680523,1553.0
384513078,1106.01,PC,10.0717,11.1149,900.0
394561119,1107.01,CP,10.0068,4.0782392,6046.6959687
295599256,1108.01,FP,9.941,7.14386,11146.4
50309953,1109.01,FP,9.7906,7.04083,1580.0
355703913,111.01,KP,13.183,2.1061569,12142.2238514
446549905,1110.01,FP,9.6789,2.4545635,4248.0
412014494,1111.01,FP,9.3871,11.4756978,8341.0
369864738,1112.01,FP,9.5162,2.78186,490.0
