Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[2/1963] TIC 177722855 (label=0) ... ok | 1/1 sec | 1.9 MB | 7.0 s
[3/1963] TIC 151483286 (label=1) ... ok | 2/2 sec | 3.9 MB | 4.4 s
[4/1963] TIC 419858461 (label=0) ... ok | 3/4 sec | 5.9 MB | 8.0 s
[5/1963] TIC 254113311 (label=1) ... ok | 3/3 sec | 5.7 MB | 9.4 s
[6/1963] TIC 121966220 (label=0) ... ok | 3/3 sec | 5.7 MB | 7.8 s
[7/1963] TIC 339636032 (label=0) ... ok | 3/10 sec | 5.2 MB | 7.7 s
[8/1963] TIC 21535395 (label=1) ... ok | 2/2 sec | 4.0 MB | 5.1 s
[9/1963] TIC 458857720 (label=0) ... ok | 2/2 sec | 3.7 MB | 5.1 s
[10/1963] TIC 21755546 (label=0) ... ok | 3/5 sec | 5.9 MB | 7.1 s
[11/1963] TIC 302895996 (label=0) ... ok | 3/4 sec | 5.2 MB | 7.0 s
[12/1963] TIC 153651591 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.0 s
[13/1963] TIC 422838133 (label=0) ... ok | 3/3 sec | 5.6 MB | 7.2 s
[14/1963] TIC 304774444 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.6 s
[15/1963] TIC 82010657 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.0 s
[16/1963] TIC 318022259 (label=1) ... ok | 3/3 sec | 5.8 MB | 8.1 s
[17/1963] TIC 328167090 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.2 s
[18/1963] TIC 418971787 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.8 s
[19/1963] TIC 219850915 (label=1) ... ok | 3/39 sec | 5.7 MB | 8.3 s
[20/1963] TIC 162246865 (label=0) ... ok | 2/2 sec | 3.7 MB | 5.9 s
[21/1963] TIC 260004324 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/42 sec | 6.0 MB | 8.6 s
[22/1963] TIC 262746281 (label=1) ... ok | 3/5 sec | 5.7 MB | 9.1 s
[23/1963] TIC 169904935 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.8 s
[24/1963] TIC 434234955 (label=0) ... ok | 3/3 sec | 5.5 MB | 7.5 s
[25/1963] TIC 366989877 (label=1) ... ok | 3/4 sec | 5.9 MB | 7.5 s
[26/1963] TIC 453211454 (label=1) ... ok | 3/5 sec | 5.5 MB | 7.6 s
[27/1963] TIC 356461227 (label=0) ... ok | 3/4 sec | 6.0 MB | 7.8 s
[28/1963] TIC 126171392 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.6 s
[29/1963] TIC 255760319 (label=0) ... ok | 3/9 sec | 5.2 MB | 7.7 s
[30/1963] TIC 355732304 (label=0) ... ok | 2/2 sec | 3.9 MB | 7.0 s
[31/1963] TIC 230386397 (label=0) ... ok | 3/39 sec | 5.7 MB | 6.0 s
[32/1963] TIC 92783821 (label=0) ... ok | 3/6 sec | 5.8 MB | 5.6 s
[33/1963] TIC 348684813 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.2 s
[34/1963] TIC 326919774 (label=0) ... ok | 3/4 sec | 5.6 MB | 5.5 s
[35/1963] TIC 237232044 (label=1) ... ok | 3/31 sec | 5.6 MB | 5.9 s
[36/1963] TIC 261867566 (label=1) ... ok | 3/9 sec | 6.0 MB | 6.0 s
