Por procesar: 2,011

[1/2011] TIC 229091748 ... ok | sec=29 | vf=0.787 | 0.80s
[2/2011] TIC 17150865 ... ok | sec=44 | vf=0.916 | 1.24s
[3/2011] TIC 272086159 ... ok | sec=38 | vf=0.963 | 2.16s
[4/2011] TIC 229285649 ... ok | sec=72 | vf=0.814 | 0.71s
[5/2011] TIC 177722855 ... ok | sec=33 | vf=0.938 | 0.68s
[6/2011] TIC 151483286 ... ok | sec=88 | vf=0.922 | 0.60s
[7/2011] TIC 419858461 ... ok | sec=64 | vf=0.976 | 0.68s
[8/2011] TIC 254113311 ... ok | sec=94 | vf=0.803 | 0.68s
[9/2011] TIC 254113311 ... ok | sec=94 | vf=0.803 | 0.63s
[10/2011] TIC 121966220 ... ok | sec=19 | vf=0.943 | 0.67s
[11/2011] TIC 339636032 ... ok | sec=6 | vf=0.941 | 0.66s
[12/2011] TIC 21535395 ... ok | sec=21 | vf=0.962 | 0.62s
[13/2011] TIC 458857720 ... ok | sec=37 | vf=0.951 | 0.63s
[14/2011] TIC 21755546 ... ok | sec=40 | vf=0.966 | 0.63s
[15/2011] TIC 302895996 ... ok | sec=6 | vf=0.941 | 0.66s
[16/2011] TIC 153651591 ... ok | sec=34 | vf=0.929 | 0.67s
[17/2011] TIC 422838133 ... ok | sec=24 | vf=0.965 | 0.65s
[18/2011] TIC 318022259 ... ok | sec=20 | vf=0.879 | 0.70s
[19/2011] TIC 318022259 ... ok | sec=20 | vf=0.879 | 0.62s
[20/2011] TIC 318022259 ... ok | sec=20 | vf=0.879 | 0.59s
[21/2011] TIC 418971787 ... ok | sec=88 | vf=0.919 | 0.65s
[22/2011] TIC 219850915 ... ok | sec=14 | vf=0.963 | 0.70s
[23/2011] TIC 162246865 ... ok | sec=36 | vf=0.858 | 0.73s
[24/2011] TIC 260004324 ... ok | sec=2 | vf=0.943 | 0.71s
[25/2011] TIC 262746281 ... ok | sec=45 | vf=0.897 | 0.63s
[26/2011] TIC 169904935 ... ok | sec=34 | vf=0.928 | 0.72s
[27/2011] TIC 434234955 ... ok | sec=32 | vf=0.920 | 0.95s
[28/2011] TIC 366989877 ... ok | sec=27 | vf=0.955 | 0.86s
[29/2011] TIC 453211454 ... ok | sec=7 | vf=0.929 | 0.73s
[30/2011] TIC 453211454 ... ok | sec=7 | vf=0.929 | 0.73s
[31/2011] TIC 356461227 ... ok | sec=89 | vf=0.978 | 0.71s
[32/2011] TIC 255760319 ... ok | sec=6 | vf=0.945 | 0.78s
[33/2011] TIC 355732304 ... ok | sec=81 | vf=0.863 | 0.69s
[34/2011] TIC 230386397 ... ok | sec=14 | vf=0.922 | 0.70s
[35/2011] TIC 92783821 ... ok | sec=41 | vf=0.957 | 0.68s
[36/2011] TIC 348684813 ... ok | sec=61 | vf=0.866 | 0.61s
[37/2011] TIC 326919774 ... ok | sec=58 | vf=0.965 | 0.66s
[38/2011] TIC 237232044 ... ok | sec=14 | vf=0.963 | 0.64s
[39/2011] TIC 261867566 ... ok | sec=39 | vf=0.963 | 0.70s
[40/2011] TIC 382437043 ... ok | sec=1 | vf=0.926 | 0.71s
[41/2011] TIC 389371332 ... ok | sec=27 | vf=0.957 | 0.70s
[42/2011] TIC 437856897 ... ok | sec=44 | vf=0.931 | 0.61s
[43/2011] TIC 389182138 ... ok | sec=77 | vf=0.565 | 0.68s
[44/2011] TIC 63013648 ... ok | sec=44 | vf=0.871 | 0.69s
[45/2011] TIC 348835438 ... ok | sec=61 | vf=0.856 | 0.66s
[46/2011] TIC 437893926 ... ok | sec=71 | vf=0.803 | 0.61s
[47/2011] TIC 156648452 ... ok | sec=50 | vf=0.563 | 0.63s
[48/2011] TIC 143032776 ... ok | sec=63 | vf=0.898 | 0.65s
[49/2011] TIC 406190563 ... ok | sec=82 | vf=0.975 | 1.61s
[50/2011] TIC 341186896 ... ok | sec=34 | vf=0.932 | 1.87s
[51/2011] TIC 267527924 ... ok | sec=34 | vf=0.929 | 1.93s
[52/2011] TIC 358631536 ... ok | sec=75 | vf=0.977 | 2.02s
[53/2011] TIC 301051430 ... ok | sec=31 | vf=0.913 | 2.01s
[54/2011] TIC 374778982 ... ok | sec=58 | vf=0.977 | 1.78s
[55/2011] TIC 284528889 ... ok | sec=58 | vf=0.932 | 1.91s
[56/2011] TIC 445805961 ... ok | sec=26 | vf=0.962 | 0.87s
[57/2011] TIC 432008938 ... ok | sec=7 | vf=0.927 | 0.72s
[58/2011] TIC 119081096 ... ok | sec=35 | vf=0.760 | 0.71s
[59/2011] TIC 258510872 ... ok | sec=24 | vf=0.949 | 0.68s
[60/2011] TIC 177612321 ... ok | sec=87 | vf=0.707 | 0.75s
[61/2011] TIC 294599100 ... ok | sec=54 | vf=0.949 | 0.65s
[62/2011] TIC 361998994 ... ok | sec=63 | vf=0.973 | 0.80s
[63/2011] TIC 146836153 ... ok | sec=61 | vf=0.864 | 0.70s
[64/2011] TIC 271169413 ... ok | sec=38 | vf=0.947 | 0.68s
[65/2011] TIC 95129101 ... ok | sec=44 | vf=0.902 | 0.68s
[66/2011] TIC 321857016 ... ok | sec=56 | vf=0.977 | 0.62s
[67/2011] TIC 340700241 ... ok | sec=63 | vf=0.973 | 0.62s
[68/2011] TIC 268301217 ... ok | sec=34 | vf=0.929 | 0.73s
[69/2011] TIC 28643432 ... ok | sec=81 | vf=0.900 | 0.67s
[70/2011] TIC 55652896 ... ok | sec=2 | vf=0.943 | 0.68s
[71/2011] TIC 55652896 ... ok | sec=2 | vf=0.943 | 0.75s
[72/2011] TIC 175180796 ... ok | sec=34 | vf=0.930 | 0.96s
[73/2011] TIC 384549882 ... ok | sec=36 | vf=0.892 | 0.59s
[74/2011] TIC 323658120 ... ok | sec=72 | vf=0.744 | 0.64s
[75/2011] TIC 300812741 ... ok | sec=27 | vf=0.815 | 0.73s
[76/2011] TIC 300812741 ... ok | sec=27 | vf=0.815 | 0.65s
